neurons,hidden_layers,lr,activation_funcs,best_epoch,train_loss,val_loss,test_accuracy
1,"[200, 100, 50]",1.00E-05,Sigmoid(),29,2.157155911,2.155483056,22.63
2,"[200, 100, 50]",1.00E-05,Sigmoid(),29,2.072975923,2.078379384,25.08
3,"[200, 100, 50]",1.00E-05,Sigmoid(),29,2.042174385,2.053528434,26.92
1,"[200, 100]",1.00E-05,Sigmoid(),29,2.066641827,2.075516698,27.12
2,"[200, 100]",1.00E-05,Sigmoid(),29,2.023039319,2.038131418,28.72
3,"[200, 100]",1.00E-05,Sigmoid(),29,2.003850151,2.022172641,29.68
3,"[200, 100]",0.01,ReLU(),8,1.701332498,1.999412313,30.17
1,[200],1.00E-05,Sigmoid(),29,2.010858322,2.033510364,30.19
3,[200],1.00E-05,Sigmoid(),29,1.995966212,2.024961633,30.35
2,[200],1.00E-05,Sigmoid(),29,1.999727335,2.02650788,30.53
3,[200],0.01,Sigmoid(),6,1.686079968,2.113492629,32.5
2,"[200, 100]",0.01,ReLU(),9,1.576935888,1.901128773,33.2
2,[200],0.01,Sigmoid(),8,1.625220738,2.006749831,33.4
1,"[200, 100, 50]",1.00E-05,ReLU(),29,1.847008472,1.879890849,34.24
1,[200],0.01,Sigmoid(),10,1.599417133,1.973787353,34.24
3,"[200, 100, 50]",0.01,Sigmoid(),27,1.718847014,1.862330227,34.92
1,"[200, 100]",1.00E-05,ReLU(),29,1.823686751,1.863674958,35.27
3,"[200, 100]",0.01,Sigmoid(),16,1.693887235,1.851154511,35.36
1,[200],1.00E-05,ReLU(),29,1.823006341,1.86449584,35.5
2,[200],0.01,ReLU(),6,1.700718569,2.146246601,35.75
2,"[200, 100]",0.01,Sigmoid(),9,1.65384932,1.830941167,35.9
3,[200],0.01,ReLU(),8,1.780090464,2.347114032,36.06
2,"[200, 100, 50]",0.01,Sigmoid(),13,1.678689856,1.835920867,36.1
2,[200],1.00E-05,ReLU(),29,1.778554163,1.828705508,36.39
2,"[200, 100, 50]",1.00E-05,ReLU(),29,1.755857177,1.807015399,36.71
3,"[200, 100, 50]",0.01,ReLU(),9,1.506907782,1.788622031,37.21
3,[200],1.00E-05,ReLU(),29,1.750609179,1.808788865,37.29
1,"[200, 100, 50]",0.01,Sigmoid(),13,1.571447901,1.806878126,37.58
1,"[200, 100, 50]",0.01,ReLU(),10,1.40324084,1.831938745,37.65
2,"[200, 100]",1.00E-05,ReLU(),29,1.738265734,1.793482897,37.88
1,[200],0.01,ReLU(),9,1.554345626,2.050563506,37.96
2,"[200, 100, 50]",0.01,ReLU(),9,1.480187531,1.78854116,38.15
1,"[200, 100]",0.01,ReLU(),8,1.488847114,1.866645513,38.22
3,"[200, 100, 50]",1.00E-05,ReLU(),29,1.688618928,1.754549979,38.63
1,"[200, 100]",0.01,Sigmoid(),14,1.496891041,1.79432069,38.8
1,"[200, 100, 50]",0.001,Sigmoid(),13,1.280846308,1.846691987,38.92
3,"[200, 100]",1.00E-05,ReLU(),29,1.683487314,1.755110289,39.25
1,"[200, 100]",0.001,Sigmoid(),11,1.313330507,1.77539514,39.54
1,[200],0.001,Sigmoid(),17,1.234195392,1.747160925,39.66
2,"[200, 100, 50]",0.001,Sigmoid(),9,1.157158588,1.835785158,40.68
3,[200],0.001,Sigmoid(),16,0.893922181,1.794370057,40.81
2,"[200, 100]",0.001,Sigmoid(),10,1.130294914,1.796831967,40.98
2,[200],0.001,Sigmoid(),14,1.095500108,1.737561212,41.04
3,"[200, 100, 50]",0.001,Sigmoid(),8,1.093545931,1.819797905,41.87
3,"[200, 100]",0.001,Sigmoid(),7,1.160762055,1.739558089,41.98
1,[200],0.001,ReLU(),7,1.185160087,1.719150687,43.32
2,[200],0.001,ReLU(),4,1.161452377,1.737538246,43.37
1,"[200, 100]",0.001,ReLU(),6,1.075511158,1.704105465,43.67
3,"[200, 100, 50]",0.001,ReLU(),5,0.789457166,1.973113614,44.33
1,"[200, 100, 50]",0.001,ReLU(),6,1.087828428,1.707193148,44.44
3,[200],0.001,ReLU(),5,1.064881944,1.72173239,44.72
2,"[200, 100]",0.001,ReLU(),5,0.882510226,1.788926244,44.89
2,"[200, 100, 50]",0.001,ReLU(),4,0.963871475,1.780548014,45.15
3,"[200, 100]",0.001,ReLU(),5,0.759868074,1.919555309,46.13
