neurons,hidden_layers,lr,activation_funcs,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,num_epoch
1,"[200, 100, 50]",1.00E-05,Sigmoid,2.033812364,26.62,2.050178229,25.72,2.04196293,26.27,100
2,"[200, 100, 50]",1.00E-05,Sigmoid,1.988442012,28.6925,2.012560037,27.49,2.000378889,28.51,99
3,"[200, 100, 50]",1.00E-05,Sigmoid,1.926901878,31.1875,1.958685694,29.45,1.939685938,30.77,100
1,"[200, 100]",1.00E-05,Sigmoid,1.975928841,30.7925,2.002454673,29.5,1.989467716,30.78,99
3,[200],1.00E-05,Sigmoid,1.99457277,30.9,2.023191712,29.86,2.01142838,30.63,31
1,[200],1.00E-05,Sigmoid,1.963977715,32.3175,2.001456383,30.58,1.988215997,31.59,98
2,[200],1.00E-05,Sigmoid,1.957864243,32.7025,1.999883122,30.73,1.987830935,31.58,96
2,"[200, 100]",1.00E-05,Sigmoid,1.922890143,32.81,1.957058264,30.95,1.938539674,32.49,100
3,"[200, 100]",0.01,ReLU,1.77825734,33.9625,2.000525419,31.05,1.997828296,31.51,11
3,"[200, 100]",1.00E-05,Sigmoid,1.893804318,33.865,1.932046015,31.61,1.912095224,33.58,100
3,[200],0.01,Sigmoid,1.385482955,52.9625,2.27935622,33.3,2.296235899,33.17,26
2,[200],0.01,Sigmoid,1.568685379,46.17,2.055614059,33.94,2.026271929,33.72,18
1,[200],0.01,Sigmoid,1.636361739,42.7125,1.939988319,34.12,1.94230705,33.94,15
3,"[200, 100, 50]",0.01,Sigmoid,1.718380328,39.055,1.863347201,34.97,1.834045614,35.67,31
2,"[200, 100]",0.01,ReLU,1.326575499,50.9125,2.477939757,35.63,2.558557547,35.01,36
3,"[200, 100]",0.01,Sigmoid,1.585381776,43.65,1.853894665,35.68,1.834350586,36.6,56
2,"[200, 100, 50]",0.01,Sigmoid,1.640157021,41.6775,1.82317893,35.96,1.804064216,36.99,26
1,"[200, 100]",0.01,Sigmoid,1.482660517,47.3275,1.800470565,37.51,1.805511069,38.03,24
2,"[200, 100]",0.01,Sigmoid,1.533924548,45.1825,1.818023021,37.57,1.81021825,37.44,33
1,"[200, 100]",0.01,ReLU,1.285181008,53.6375,2.063432885,37.78,2.094695102,38.3,31
1,"[200, 100, 50]",0.01,Sigmoid,1.48614447,47.2525,1.788050327,38.01,1.799288309,37.37,28
3,[200],0.01,ReLU,1.758037813,46.8525,2.214276958,38.11,2.226412014,37.81,16
3,"[200, 100, 50]",0.01,ReLU,1.440838019,48.3225,1.945020419,38.32,1.925449673,38.64,22
1,"[200, 100, 50]",0.001,Sigmoid,1.392648781,50.075,1.801999282,38.34,1.781345185,38.8,16
2,[200],0.01,ReLU,1.55944235,50.27,2.128263283,38.5,2.182981831,37.52,20
1,[200],1.00E-05,ReLU,1.653033832,43.35,1.744941571,38.69,1.728861415,39.77,99
1,[200],0.01,ReLU,1.71002645,42.0275,1.914223491,38.77,1.891449314,39.03,7
1,"[200, 100]",0.001,Sigmoid,1.345325637,52.7375,1.750419414,39.52,1.734554256,40.17,17
1,"[200, 100]",1.00E-05,ReLU,1.605298257,44.5775,1.709788073,39.88,1.690939565,40.49,100
1,"[200, 100, 50]",1.00E-05,ReLU,1.608044005,43.92,1.705277337,39.93,1.683120786,40.41,100
2,"[200, 100, 50]",0.01,ReLU,1.207616661,56.9775,2.090165588,40.06,2.068082634,40.15,35
2,"[200, 100, 50]",0.001,Sigmoid,1.070656653,61.5275,1.931067796,40.08,1.885004572,40.9,18
1,[200],0.001,Sigmoid,1.157633084,61.355,1.778000145,40.31,1.775851976,40.07,28
1,"[200, 100, 50]",0.01,ReLU,1.345380735,52.455,1.812077851,40.48,1.80238466,40.46,21
2,[200],1.00E-05,ReLU,1.573642987,46.46,1.697645077,41.01,1.680867708,41.35,100
2,[200],0.001,Sigmoid,1.025870501,66.6475,1.747725968,41.04,1.767707811,40.3,23
3,[200],0.001,Sigmoid,1.197617686,60.275,1.724618281,41.06,1.730372495,40.75,16
2,"[200, 100]",0.001,Sigmoid,1.118316193,61.065,1.778179656,41.12,1.759631343,41.55,17
3,"[200, 100, 50]",0.001,Sigmoid,1.097434749,60.9675,1.825613992,41.87,1.806870109,41.76,15
3,[200],1.00E-05,ReLU,1.524178953,48.515,1.670716521,42.07,1.653735997,42.04,99
3,"[200, 100]",0.001,Sigmoid,1.094065083,61.5575,1.763184736,42.36,1.750594975,42.26,15
2,"[200, 100]",1.00E-05,ReLU,1.459178687,49.905,1.630408713,42.79,1.60851369,42.94,99
2,"[200, 100, 50]",1.00E-05,ReLU,1.442135972,49.7625,1.623963504,42.84,1.609043971,43.02,99
1,[200],0.001,ReLU,1.181330358,59.0325,1.679941212,44.1,1.684899716,43.64,14
1,"[200, 100, 50]",0.001,ReLU,1.271197134,55.2275,1.619831651,44.55,1.609656574,44.64,9
3,"[200, 100, 50]",1.00E-05,ReLU,1.306233274,54.465,1.59668957,44.59,1.581014528,44.5,99
3,"[200, 100]",1.00E-05,ReLU,1.353170327,53.65,1.592299751,44.61,1.57773293,44.5,99
3,[200],0.001,ReLU,1.269880966,56.05,1.666395838,44.63,1.66859802,44.55,8
